index	playlist_id	videos_total	playlist_name	playlist_url
206	x77wx2	16	Aki 2021 - Day 04	https://www.dailymotion.com/playlist/x77wx2
207	x77wx3	17	Aki 2021 - Day 05	https://www.dailymotion.com/playlist/x77wx3
208	x77wx4	16	Aki 2021 - Day 06	https://www.dailymotion.com/playlist/x77wx4
209	x77wx5	16	Aki 2021 - Day 07	https://www.dailymotion.com/playlist/x77wx5
210	x77wx6	18	Aki 2021 - Day 08	https://www.dailymotion.com/playlist/x77wx6
211	x77wx8	16	Aki 2021 - Day 09	https://www.dailymotion.com/playlist/x77wx8
212	x77wxa	9	Aki 2021 - Day 10	https://www.dailymotion.com/playlist/x77wxa
213	x77wxb	15	Aki 2021 - Day 11	https://www.dailymotion.com/playlist/x77wxb
214	x77wxc	13	Aki 2021 - Day 12	https://www.dailymotion.com/playlist/x77wxc
215	x77wxd	16	Aki 2021 - Day 13	https://www.dailymotion.com/playlist/x77wxd
216	x77wxe	12	Aki 2021 - Day 14	https://www.dailymotion.com/playlist/x77wxe
217	x77wxg	14	Aki 2021 - Day 15	https://www.dailymotion.com/playlist/x77wxg
218	x7ap1g	11	Kyushu 2021 - Day 01	https://www.dailymotion.com/playlist/x7ap1g
219	x7ap1h	9	Kyushu 2021 - Day 02	https://www.dailymotion.com/playlist/x7ap1h
220	x7ap1j	13	Kyushu 2021 - Day 03	https://www.dailymotion.com/playlist/x7ap1j
221	x7ap1l	11	Kyushu 2021 - Day 04	https://www.dailymotion.com/playlist/x7ap1l
222	x7ap1m	12	Kyushu 2021 - Day 05	https://www.dailymotion.com/playlist/x7ap1m
223	x7ap1n	11	Kyushu 2021 - Day 06	https://www.dailymotion.com/playlist/x7ap1n
224	x7ap1o	12	Kyushu 2021 - Day 07	https://www.dailymotion.com/playlist/x7ap1o
225	x7ap1p	14	Kyushu 2021 - Day 08	https://www.dailymotion.com/playlist/x7ap1p
226	x7ap1r	12	Kyushu 2021 - Day 09	https://www.dailymotion.com/playlist/x7ap1r
227	x7ap1s	15	Kyushu 2021 - Day 10	https://www.dailymotion.com/playlist/x7ap1s
228	x7ap1t	13	Kyushu 2021 - Day 11	https://www.dailymotion.com/playlist/x7ap1t
229	x7ap1u	12	Kyushu 2021 - Day 12	https://www.dailymotion.com/playlist/x7ap1u
230	x7ap1w	14	Kyushu 2021 - Day 13	https://www.dailymotion.com/playlist/x7ap1w
231	x7ap1x	12	Kyushu 2021 - Day 14	https://www.dailymotion.com/playlist/x7ap1x
232	x7ap1y	15	Kyushu 2021 - Day 15	https://www.dailymotion.com/playlist/x7ap1y
233	x7d1gj	14	Hatsu 2022 - Day 01	https://www.dailymotion.com/playlist/x7d1gj
234	x7d1gk	14	Hatsu 2022 - Day 02	https://www.dailymotion.com/playlist/x7d1gk
235	x7d1gl	13	Hatsu 2022 - Day 03	https://www.dailymotion.com/playlist/x7d1gl
236	x7d1gm	15	Hatsu 2022 - Day 04	https://www.dailymotion.com/playlist/x7d1gm
237	x7d1gn	15	Hatsu 2022 - Day 05	https://www.dailymotion.com/playlist/x7d1gn
238	x7d1gp	13	Hatsu 2022 - Day 06	https://www.dailymotion.com/playlist/x7d1gp
239	x7d1gq	16	Hatsu 2022 - Day 07	https://www.dailymotion.com/playlist/x7d1gq
240	x7d1gr	16	Hatsu 2022 - Day 08	https://www.dailymotion.com/playlist/x7d1gr
241	x7d1gs	15	Hatsu 2022 - Day 09	https://www.dailymotion.com/playlist/x7d1gs
242	x7d1gt	13	Hatsu 2022 - Day 10	https://www.dailymotion.com/playlist/x7d1gt
243	x7d1gu	9	Hatsu 2022 - Day 11	https://www.dailymotion.com/playlist/x7d1gu
244	x7d1gv	13	Hatsu 2022 - Day 12	https://www.dailymotion.com/playlist/x7d1gv
245	x7d1gw	19	Hatsu 2022 - Day 13	https://www.dailymotion.com/playlist/x7d1gw
246	x7d1gx	13	Hatsu 2022 - Day 14	https://www.dailymotion.com/playlist/x7d1gx
247	x7d1gy	13	Hatsu 2022 - Day 15	https://www.dailymotion.com/playlist/x7d1gy
248	x7f9i2	15	Haru 2022 - Day 01	https://www.dailymotion.com/playlist/x7f9i2
249	x7f9i3	15	Haru 2022 - Day 02	https://www.dailymotion.com/playlist/x7f9i3
250	x7f9i4	15	Haru 2022 - Day 03	https://www.dailymotion.com/playlist/x7f9i4
251	x7f9i5	11	Haru 2022 - Day 04	https://www.dailymotion.com/playlist/x7f9i5
252	x7f9i6	13	Haru 2022 - Day 05	https://www.dailymotion.com/playlist/x7f9i6
253	x7f9i7	15	Haru 2022 - Day 06	https://www.dailymotion.com/playlist/x7f9i7
254	x7f9i8	10	Haru 2022 - Day 07	https://www.dailymotion.com/playlist/x7f9i8
255	x7f9i9	15	Haru 2022 - Day 08	https://www.dailymotion.com/playlist/x7f9i9
256	x7f9ia	14	Haru 2022 - Day 09	https://www.dailymotion.com/playlist/x7f9ia
257	x7f9ib	14	Haru 2022 - Day 10	https://www.dailymotion.com/playlist/x7f9ib
258	x7f9id	13	Haru 2022 - Day 11	https://www.dailymotion.com/playlist/x7f9id
259	x7f9ie	15	Haru 2022 - Day 12	https://www.dailymotion.com/playlist/x7f9ie
260	x7f9if	12	Haru 2022 - Day 13	https://www.dailymotion.com/playlist/x7f9if
261	x7f9ig	8	Haru 2022 - Day 14	https://www.dailymotion.com/playlist/x7f9ig
262	x7f9ih	15	Haru 2022 - Day 15	https://www.dailymotion.com/playlist/x7f9ih
263	x7h1mu	12	Natsu 2022 - Day 1	https://www.dailymotion.com/playlist/x7h1mu
264	x7h1mv	13	Natsu 2022 - Day 2	https://www.dailymotion.com/playlist/x7h1mv
265	x7h1mw	15	Natsu 2022 - Day 3	https://www.dailymotion.com/playlist/x7h1mw
266	x7h1mx	14	Natsu 2022 - Day 4	https://www.dailymotion.com/playlist/x7h1mx
267	x7h1my	12	Natsu 2022 - Day 5	https://www.dailymotion.com/playlist/x7h1my
268	x7h1mz	11	Natsu 2022 - Day 6	https://www.dailymotion.com/playlist/x7h1mz
269	x7h1n0	10	Natsu 2022 - Day 7	https://www.dailymotion.com/playlist/x7h1n0
270	x7h1n1	11	Natsu 2022 - Day 8	https://www.dailymotion.com/playlist/x7h1n1
271	x7h1n2	10	Natsu 2022 - Day 9	https://www.dailymotion.com/playlist/x7h1n2
272	x7h1n3	10	Natsu 2022 - Day 10	https://www.dailymotion.com/playlist/x7h1n3
273	x7h1n4	10	Natsu 2022 - Day 11	https://www.dailymotion.com/playlist/x7h1n4
274	x7h1n5	12	Natsu 2022 - Day 12	https://www.dailymotion.com/playlist/x7h1n5
275	x7h1n6	6	Natsu 2022 - Day 13	https://www.dailymotion.com/playlist/x7h1n6
276	x7h1n7	9	Natsu 2022 - Day 14	https://www.dailymotion.com/playlist/x7h1n7
